name,salary_from,salary_to,salary_currency,area_name,published_at
Начальник отдела по организации планово-предупредительных ремонтов,180000.0,200000.0,RUR,Москва,2022-12-15T06:23:24+0300
Аналитик,45000.0,128700.0,RUR,Волгоград,2022-12-15T10:02:13+0300
Оператор станков с ЧПУ,80000.0,,RUR,Ижевск,2022-12-15T11:10:55+0300
Рабочий на экструзионное производство,53000.0,59000.0,RUR,Краснодар,2022-12-15T09:06:14+0300
Фрезеровщик,50000.0,70000.0,RUR,Воронеж,2022-12-15T11:33:09+0300
Стажер-Автотестирование (Java),,20000.0,RUR,Уфа,2022-12-15T07:09:37+0300
Главный механик,25000.0,35000.0,RUR,Волгоград,2022-12-15T09:08:00+0300
"Сервисный инженер, Поволжье",45000.0,,RUR,Саратов,2022-12-15T10:34:29+0300
Оператор лазерного станка,60000.0,,RUR,Санкт-Петербург,2022-12-15T00:29:56+0300
Менеджер проектов,600000.0,600000.0,KZT,Алматы,2022-12-15T07:08:25+0300
Программист BackEnd,150000.0,350000.0,KZT,Усть-Каменогорск,2022-12-15T09:39:32+0300
Инженер КИПиА,40000.0,80000.0,RUR,Киров (Кировская область),2022-12-15T08:45:35+0300
Бизнес-аналитик (регламентация бизнес-процессов),150000.0,,RUR,Москва,2022-12-15T11:13:49+0300
Программист 1С,,260000.0,RUR,Москва,2022-12-15T09:26:23+0300
Шлифовальщик по дереву,45000.0,60000.0,RUR,Красногорск,2022-12-15T00:29:56+0300
Инженер электромеханического ремонта,70000.0,120000.0,RUR,Новосибирск,2022-12-15T07:26:45+0300
Системный администратор,45000.0,,RUR,Томск,2022-12-15T07:43:11+0300
Токарь на станок с ЧПУ,40000.0,,RUR,Ижевск,2022-12-15T09:47:10+0300
Системный администратор,10000.0,,RUR,Саратов,2022-12-15T09:24:17+0300
Инженер-механик,1500.0,2000.0,BYR,Копыль,2022-12-15T08:33:00+0300
Специалист-аналитик Молодежного центра,80000.0,,RUR,Владивосток,2022-12-15T03:44:56+0300
Токарь-фрезеровщик,50000.0,,RUR,Ростов-на-Дону,2022-12-15T11:45:07+0300
Видеомонтажер/Графический дизайнер,30000.0,35000.0,RUR,Иркутск,2022-12-15T11:02:47+0300
Менеджер по продажам сельхозтехники и спецтехники,100000.0,600000.0,RUR,Уфа,2022-12-15T07:29:21+0300
Специалист (электромонтёр) охранно-пожарной сигнализации,40000.0,65000.0,RUR,Воронеж,2022-12-15T08:49:59+0300
Линейный механик,350000.0,,KZT,Шымкент,2022-12-15T11:13:15+0300
Motion designer,120000.0,,RUR,Москва,2022-12-15T11:01:49+0300
Оператор станков с ЧПУ,80000.0,120000.0,RUR,Саратов,2022-12-15T08:57:47+0300
Графический дизайнер,,80000.0,RUR,Москва,2022-12-15T10:40:59+0300
Оператор ЧПУ на мультикам,180000.0,350000.0,KZT,Алматы,2022-12-15T11:57:11+0300
DevOps specialist,500000.0,800000.0,KZT,Алматы,2022-12-15T08:15:56+0300
Специалист технической поддержки (junior),30000.0,36000.0,RUR,Тюмень,2022-12-15T09:25:47+0300
Руководитель проектов 1С,,250000.0,RUR,Москва,2022-12-15T09:00:38+0300
Копирайтер Молодежного Центра,,45000.0,RUR,Владивосток,2022-12-15T04:12:45+0300
Механик сервиса,60000.0,75000.0,RUR,Наро-Фоминск,2022-12-15T09:52:24+0300
Монтажник сетей спутниковой связи,30000.0,55000.0,RUR,Ижевск,2022-12-15T09:35:00+0300
Эксперт по информационной безопасности,117000.0,,RUR,Екатеринбург,2022-12-15T11:47:05+0300
Контролер технического состояния автомобилей,58000.0,67000.0,RUR,Ярославль,2022-12-15T10:41:25+0300
"Менеджер IT, EdTech",100000.0,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
Оператор станков с ПУ,60000.0,,RUR,Красноярск,2022-12-15T05:05:42+0300
Инженер-программист (C++/Qt),30000.0,50000.0,RUR,Тула,2022-12-15T09:15:54+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000.0,,RUR,Новосибирск,2022-12-15T08:56:27+0300
Эксперт по информационной безопасности,117000.0,,RUR,Екатеринбург,2022-12-15T11:31:30+0300
Наладчик КИПиА,40000.0,80000.0,RUR,Нальчик,2022-12-15T01:16:07+0300
Контент-менеджер сайта,30000.0,,RUR,Пятигорск,2022-12-15T10:41:45+0300
