name,salary_from,salary_to,salary_currency,area_name,published_at
Оператор станков с ПУ,60000.0,80000.0,RUR,Екатеринбург,2022-12-15T08:21:39+0300
Cистемный программист Embedded Linux,,180000.0,RUR,Москва,2022-12-15T10:29:06+0300
Техник водитель с личным автомобилем,50000.0,,RUR,Санкт-Петербург,2022-12-15T08:38:35+0300
Фрезеровщик 5-6 разряда,50000.0,,RUR,Новокузнецк,2022-12-15T11:30:23+0300
Инженер по ремонту складской техники ( jungheinrich),80000.0,,RUR,Люберцы,2022-12-15T10:13:37+0300
Токарь-расточник,130000.0,,RUR,Ижевск,2022-12-15T09:24:38+0300
Механик,150000.0,180000.0,RUR,Иркутск,2022-12-15T10:15:54+0300
Инженер по ремонту,50000.0,,RUR,Энгельс,2022-12-15T09:32:25+0300
Фрезеровщик (г. Ижевск),100000.0,,RUR,Ижевск,2022-12-15T07:36:22+0300
Мастер СТО,40000.0,75000.0,RUR,Самара,2022-12-15T10:43:20+0300
Инженер в техническое подразделение (1732),80000.0,,RUR,Москва,2022-12-15T09:47:01+0300
Специалист отдела информационных технологий,45000.0,,RUR,Горно-Алтайск,2022-12-15T07:10:22+0300
Системный администратор / Специалист технической поддержки,25000.0,30000.0,RUR,Ульяновск,2022-12-15T11:31:43+0300
Главный специалист (специалист по информатизации),28000.0,30000.0,RUR,Чебоксары,2022-12-15T11:04:12+0300
Механик автоколонны,75000.0,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
Начальник отдела технической поддержки и информационной безопасности,48938.0,60000.0,RUR,Тюмень,2022-12-15T09:29:43+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Воротынск,2022-12-15T09:02:45+0300
"Оператор/оператор-технолог токарного, фрезерного станков с ЧПУ",60000.0,75000.0,RUR,Новосибирск,2022-12-15T05:40:19+0300
Токарь-универсал,127000.0,,RUR,Брянск,2022-12-15T09:53:12+0300
Токарь,80000.0,,RUR,Ростов-на-Дону,2022-12-15T09:56:29+0300
Оператор станка с ЧПУ,35000.0,,RUR,Топки,2022-12-15T05:23:41+0300
Менеджер проектов,30000.0,60000.0,RUR,Иркутск,2022-12-15T10:49:06+0300
Программист,90000.0,,RUR,Москва,2022-12-15T11:05:05+0300
Руководитель группы отдела сопровождения проектов,36000.0,,RUR,Сызрань,2022-12-15T08:53:00+0300
Наладчик производственного оборудования (стажер. готовы обучить ),40000.0,,RUR,Березовский (Свердловская область),2022-12-15T05:09:17+0300
Разметчик,88000.0,,RUR,Калуга,2022-12-15T10:00:08+0300
Управляющий холодильниками (фруктохранилище),300000.0,350000.0,KZT,Алматы,2022-12-15T10:29:03+0300
Технический директор,150000.0,,RUR,Хабаровск,2022-12-15T04:40:44+0300
Токарь,40000.0,50000.0,RUR,Набережные Челны,2022-12-15T10:45:59+0300
Шлифовщик,60000.0,,RUR,Чебоксары,2022-12-15T11:54:47+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Кондрово,2022-12-15T09:02:57+0300
Инженер по автоматизированным системам управления производством,30000.0,,RUR,Заинск,2022-12-15T10:55:55+0300
Оператор станков с ЧПУ,75000.0,75000.0,RUR,Балашиха,2022-12-15T09:56:52+0300
Инженер по IP домофонии,52000.0,,RUR,Ростов-на-Дону,2022-12-15T11:57:52+0300
Оператор станков с ПУ,78000.0,,RUR,Ломоносов,2022-12-15T11:07:28+0300
Монтажник РЭАиП,,60000.0,RUR,Омск,2022-12-15T07:17:05+0300
Дизайнер (графический),30000.0,,RUR,Южно-Сахалинск,2022-12-15T08:38:10+0300
Инженер сервисной службы (ОВиК),60000.0,,RUR,Нижний Новгород,2022-12-15T10:01:37+0300
Фрезеровщик,,85000.0,RUR,Калуга,2022-12-15T11:26:30+0300
Специалист отдела поддержки пользователей,45000.0,,RUR,Новосибирск,2022-12-15T08:16:04+0300
Токарь-расточник,100000.0,,RUR,Тамбов,2022-12-15T08:22:51+0300
Главный механик в карьер,50000.0,75000.0,RUR,Анапа,2022-12-15T08:59:22+0300
FullStack Developer (C# + .Net + Angular) Middle,,220000.0,RUR,Москва,2022-12-15T11:55:00+0300
Механик автомобильного транспорта,200000.0,,KZT,Шымкент,2022-12-15T06:32:17+0300
Механик-наладчик производственного оборудования,40000.0,45000.0,RUR,Волгоград,2022-12-15T08:11:35+0300
Наладчик станков с ЧПУ,92000.0,,RUR,Санкт-Петербург,2022-12-15T10:10:28+0300
"Дежурный инженер (Химки, 1-3)",,62000.0,RUR,Химки,2022-12-15T11:40:16+0300
Токарь,100000.0,,RUR,Липецк,2022-12-15T11:49:54+0300
Ведущий специалист по автоматизации учета на 1С,70000.0,,RUR,Пермь,2022-12-15T08:28:24+0300
"Токарь, г. Ростов-на-Дону",77200.0,,RUR,Новочеркасск,2022-12-15T10:31:49+0300
Оператор станков с программным управлением,45000.0,,RUR,Семилуки,2022-12-15T10:00:56+0300
Токарь,94000.0,110000.0,RUR,Калуга,2022-12-15T11:27:54+0300
Начинающий специалист технической поддержки (удаленно),30000.0,38000.0,RUR,Ростов-на-Дону,2022-12-15T09:44:21+0300
Специалист службы технической поддержки,26000.0,35000.0,RUR,Иркутск,2022-12-15T08:21:45+0300
Инженер систем мониторинга,190000.0,,RUR,Москва,2022-12-15T10:18:29+0300
Инженер-аналитик,44000.0,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
Фрезеровщик,70000.0,,RUR,Новочеркасск,2022-12-15T11:44:53+0300
Системный администратор,55000.0,60000.0,RUR,Новый (Приморский край),2022-12-15T10:34:29+0300
Специалист по информационной безопасности,25000.0,27000.0,RUR,Иркутск,2022-12-15T10:58:22+0300
Оператор станков с программным управлением 3 разряд,47000.0,,RUR,Пушкино (Московская область),2022-12-15T11:50:33+0300
Токарь-универсал,90000.0,,RUR,Белгород,2022-12-15T11:57:29+0300
Оператор ЧПУ (Ижевск),110000.0,,RUR,Ижевск,2022-12-15T07:32:04+0300
"Токарь, г. Ростов-на-Дону",77200.0,,RUR,Новошахтинск,2022-12-15T10:31:49+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Товарково (Калужская область),2022-12-15T09:02:38+0300
Ассистент директора по продажам,40000.0,60000.0,RUR,Москва,2022-12-15T11:01:49+0300
Оператор-резчик металла на ножницах и прессах (производство),40000.0,60000.0,RUR,Новосибирск,2022-12-15T07:10:41+0300
Инженер - схемотехник,80000.0,,RUR,Санкт-Петербург,2022-12-15T10:50:57+0300
Выездной инженер по техническому обслуживанию (ресторанное оборудование),80000.0,100000.0,RUR,Москва,2022-12-15T11:04:38+0300
Теплотехник,30000.0,,RUR,Котельнич,2022-12-15T08:01:58+0300
Токарь,105000.0,143000.0,RUR,Верхняя Салда,2022-12-15T09:16:47+0300
Специалист 1 разряда отдела информационных технологий,15000.0,30000.0,RUR,Городище,2022-12-15T10:20:42+0300
Токарь (г. Воронеж),100000.0,,RUR,Нововоронеж,2022-12-15T11:02:27+0300
Старший электромеханик,50000.0,52000.0,RUR,Шиханы,2022-12-15T07:51:52+0300
Инженер поддержки пользователей,60000.0,60000.0,RUR,Москва,2022-12-15T09:48:00+0300
Оператор машины по перемотке клеевых лент,50000.0,,RUR,Москва,2022-12-15T09:17:22+0300
Главный механик,90000.0,,RUR,Саратов,2022-12-15T10:08:23+0300
Шлифовщик-токарь (г.Ижевск),100000.0,,RUR,Ижевск,2022-12-15T07:34:09+0300
Маркетолог-аналитик (ОПК),86900.0,112000.0,RUR,Москва,2022-12-15T08:30:50+0300
Системотехник,45000.0,,RUR,Ленинск-Кузнецкий,2022-12-15T11:56:15+0300
Инженер систем связи,39000.0,,RUR,Дюртюли,2022-12-15T07:09:58+0300
Токарь,,85000.0,RUR,Калуга,2022-12-15T11:29:18+0300
Руководитель отдела технической поддержки,,300000.0,KZT,Алматы,2022-12-15T09:57:12+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Саратов,2022-12-15T08:56:50+0300
Фрезеровщик,127000.0,,RUR,Курск,2022-12-15T09:57:40+0300
Программист 1С в Отдел развития и автоматизации управленческих информационных систем,170000.0,,RUR,Москва,2022-12-15T10:05:00+0300
Заместитель начальника отдела анализа и оценки кредитных проектов крупного бизнеса,90000.0,,RUR,Ростов-на-Дону,2022-12-15T10:56:42+0300
Механик сервисной службы,45000.0,55000.0,RUR,Самара,2022-12-15T11:42:21+0300
Токарь (г. Воронеж),100000.0,,RUR,Новая Усмань,2022-12-15T11:02:27+0300
Фрезеровщик,55000.0,,RUR,Уфа,2022-12-15T06:30:23+0300
Инженер 2 категории,,53500.0,RUR,Покачи,2022-12-15T08:01:39+0300
PHP-разработчик (Laravel),120000.0,,RUR,Санкт-Петербург,2022-12-15T07:14:23+0300
Фрезеровщик,40000.0,,RUR,Волгоград,2022-12-15T10:15:00+0300
Фрезеровщик,90000.0,,RUR,Белгород,2022-12-15T11:57:11+0300
Механик по транспорту,70000.0,,RUR,Рязань,2022-12-15T11:36:31+0300
Ведущий инженер-программист,,130000.0,RUR,Тверь,2022-12-15T08:59:35+0300
Технический директор (главный конструктор),130000.0,,RUR,Уфа,2022-12-15T10:48:58+0300
Инженер технической поддержки,42000.0,,RUR,Уфа,2022-12-15T06:51:37+0300
Механик-энергетик,35000.0,,RUR,Нижний Тагил,2022-12-15T09:39:24+0300
Инженер-электроник,40000.0,60000.0,RUR,Екатеринбург,2022-12-15T08:49:06+0300
Специалист по диспетчеризации лифтов,350000.0,500000.0,KZT,Астана,2022-12-15T07:55:30+0300
Техник по обслуживанию домофонов,46000.0,,RUR,Ростов-на-Дону,2022-12-15T11:42:48+0300
"Токарь, г. Ростов-на-Дону",77200.0,,RUR,Шахты,2022-12-15T10:31:49+0300
Токарь-расточник,126000.0,,RUR,Калуга,2022-12-15T11:02:31+0300
Специалист службы поддержки пользователей,27000.0,,RUR,Казань,2022-12-15T10:53:00+0300
"QA Engineer for multinational IT company, remote",200000.0,,RUR,Москва,2022-12-15T11:05:14+0300
Оператор-наладчик на производственную линию (производство бумажных пакетов),30000.0,45000.0,RUR,Омск,2022-12-15T06:14:47+0300
Специалист по промо,45000.0,,RUR,Вологда,2022-12-15T11:42:53+0300
Эксперт/инженер-обследователь по экспертизе и обследованию зданий/сооружений,75000.0,150000.0,RUR,Видное,2022-12-15T09:12:47+0300
Оператор станков с ПУ,60000.0,120000.0,RUR,Большой Исток,2022-12-15T09:32:03+0300
Оператор чпу,75000.0,,RUR,Петергоф,2022-12-15T09:37:06+0300
Руководитель группы,62000.0,62000.0,RUR,Новокузнецк,2022-12-15T10:13:03+0300
Наладчик ТПА,55000.0,,RUR,Санкт-Петербург,2022-12-15T09:10:20+0300
Оператор станков с ПУ,60000.0,120000.0,RUR,Арамиль,2022-12-15T09:32:03+0300
Менеджер по продажам,50000.0,80000.0,RUR,Пенза,2022-12-15T10:07:05+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Нягань,2022-12-15T09:09:23+0300
Программист-разработчик покерного бота,60000.0,,RUR,Санкт-Петербург,2022-12-15T10:16:13+0300
Слесарь-ремонтник,35000.0,45000.0,RUR,Набережные Челны,2022-12-15T10:46:08+0300
Программист 1С (возможен неполный рабочий день),,50000.0,RUR,Новокузнецк,2022-12-15T11:30:22+0300
Механик по ремонту основного и вспомогательного технологического оборудования,35000.0,40000.0,RUR,Рязань,2022-12-15T09:43:26+0300
Линейный механик,150000.0,,RUR,Бугульма,2022-12-15T11:49:50+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000.0,,RUR,Чебоксары,2022-12-15T08:22:21+0300
Оператор станков с программным управлением,45000.0,,RUR,Воронеж,2022-12-15T10:01:20+0300
Специалист по данным / Data Engineer,70000.0,,RUR,Благовещенск (Амурская область),2022-12-15T10:11:57+0300
Токарь-универсал,,50000.0,RUR,Миасс,2022-12-15T08:15:19+0300
Senior JS Developer,4000.0,6500.0,USD,Баку,2022-12-15T11:05:59+0300
Оператор станков с программным управлением 3 разряд,47000.0,,RUR,Щелково,2022-12-15T11:50:33+0300
QA engineer (remote),,1500.0,USD,Москва,2022-12-15T08:04:14+0300
Инженер-механик,,75400.0,RUR,Темрюк,2022-12-15T08:44:26+0300
Мастер слесарного цеха,70000.0,90000.0,RUR,Мытищи,2022-12-15T09:22:03+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Калуга,2022-12-15T08:56:50+0300
Senior Frontend Developer (Vue.js),4000.0,6500.0,USD,Тбилиси,2022-12-15T10:55:08+0300
Токарь-фрезеровщик,60000.0,70000.0,RUR,Москва,2022-12-15T09:46:18+0300
Наладчик технологического оборудования,25000.0,,RUR,Нижний Тагил,2022-12-15T09:31:26+0300
Механик-наладчик производственного оборудования,60000.0,70000.0,RUR,Солнечногорск,2022-12-15T07:53:59+0300
Программист 1С,100000.0,,RUR,Тюмень,2022-12-15T08:41:30+0300
Главный механик,,120000.0,RUR,Набережные Челны,2022-12-15T09:41:26+0300
Руководитель транспортного отдела/ начальник транспортного участка,80000.0,100000.0,RUR,Екатеринбург,2022-12-15T07:59:56+0300
Консультант 1С (Казначейство),90000.0,,RUR,Санкт-Петербург,2022-12-15T10:42:43+0300
Оператор станка с ПУ,44800.0,,RUR,Тула,2022-12-15T09:19:02+0300
Инженер-механик,70000.0,,RUR,Дмитров,2022-12-15T11:22:04+0300
Токарь (оператор на станок с ЧПУ),80000.0,,RUR,Новочеркасск,2022-12-15T11:45:25+0300
Монтажник слаботочных сетей связи,45000.0,60000.0,RUR,Санкт-Петербург,2022-12-15T11:27:08+0300
Техник по эксплуатации,40000.0,50000.0,RUR,Екатеринбург,2022-12-15T10:25:14+0300
Механик по выпуску автотранспорта,45000.0,55000.0,RUR,Полесск,2022-12-15T10:02:08+0300
Слесарь по ремонту средств малой механизации,70000.0,,RUR,Москва,2022-12-15T11:13:16+0300
Фрезеровщик,90000.0,,RUR,Старый Оскол,2022-12-15T11:57:11+0300
Ведущий специалист отдела технической поддержки пользователей,,90000.0,RUR,Москва,2022-12-15T10:50:01+0300
Специалист отдела сервисного обслуживания / инженер механик (техник-гидравлик),50000.0,60000.0,RUR,Самара,2022-12-15T11:01:23+0300
Токарь,100000.0,,RUR,Воронеж,2022-12-15T11:33:20+0300
Главный специалист по информационной безопасности,160000.0,190000.0,RUR,Москва,2022-12-15T10:52:47+0300
Администратор проекта,,80000.0,RUR,Альметьевск,2022-12-15T11:01:49+0300
Системотехник,53000.0,,RUR,Новокузнецк,2022-12-15T11:56:19+0300
Оператор станков с программным управлением,38440.0,49320.0,RUR,Великий Новгород,2022-12-15T09:14:27+0300
Токарь-универсал,60000.0,100000.0,RUR,Колпино,2022-12-15T09:45:59+0300
Frontend developer (Vue.js),120000.0,200000.0,RUR,Новосибирск,2022-12-15T10:59:27+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Уфа,2022-12-15T08:51:31+0300
Техник по обслуживанию пожарной сигнализации,42500.0,,RUR,Ставрополь,2022-12-15T11:35:47+0300
Токарь-универсал,90000.0,,RUR,Старый Оскол,2022-12-15T11:57:29+0300
Дизайнер,30000.0,,RUR,Челябинск,2022-12-15T11:33:37+0300
Наладчик КИПиА,50000.0,,RUR,Ярославль,2022-12-15T11:58:23+0300
Инженер по IP-телефонии (главный специалист),60000.0,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Инженер по видеонаблюдению,52000.0,,RUR,Ставрополь,2022-12-15T10:52:54+0300
Фрезеровщик,90000.0,,RUR,Губкин,2022-12-15T11:57:11+0300
Электромонтер линейных сооружений телефонной связи и радиофикации,50000.0,,RUR,Новокузнецк,2022-12-15T11:31:15+0300
Токарь-расточник,60000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Сервисный инженер/Системный Администратор,55000.0,55000.0,RUR,Санкт-Петербург,2022-12-15T11:27:31+0300
Инженер по гарантии,45000.0,60000.0,RUR,Тула,2022-12-15T08:34:25+0300
Механик (ремонт горного оборудования),89590.0,,RUR,Белово,2022-12-15T05:12:51+0300
Механик (дорожно-строительная техника),75000.0,75000.0,RUR,Острогожск,2022-12-15T08:53:15+0300
Наладчик на карусельный станок,65000.0,65000.0,RUR,Челябинск,2022-12-15T07:57:46+0300
Наладчик стеклоформующих машин в г.Алексин,110000.0,,RUR,Ростов (Ярославская область),2022-12-15T11:30:39+0300
Токарь,40906.0,,RUR,Киров (Кировская область),2022-12-15T10:39:09+0300
Монтажник ВОЛС,50000.0,,RUR,Железногорск (Красноярский край),2022-12-15T06:01:21+0300
"Консультант 1С (логистика, доставка)",,150000.0,RUR,Санкт-Петербург,2022-12-15T11:41:32+0300
"Фрезеровщик, город Калуга",,94000.0,RUR,Калуга,2022-12-15T11:45:05+0300
Инженер по ремонту,50000.0,,RUR,Саратов,2022-12-15T09:32:25+0300
Техник ОПС,35000.0,,RUR,Армавир,2022-12-15T09:51:24+0300
Линейный механик,150000.0,,RUR,Чита,2022-12-15T11:49:50+0300
Начинающий специалист технической поддержки (удаленно),30000.0,38000.0,RUR,Нижний Новгород,2022-12-15T09:44:29+0300
Выездной системный администратор (ведущий специалист),50000.0,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Инженер-механик,,75400.0,RUR,Анапа,2022-12-15T08:44:26+0300
Слесарь-опиловщик,30000.0,50000.0,RUR,Самара,2022-12-15T10:24:46+0300
Главный механик дробильного оборудования,80000.0,,RUR,Елизово,2022-12-15T08:38:34+0300
Системный администратор,50000.0,55000.0,RUR,Красноярск,2022-12-15T10:15:34+0300
Технический писатель,60000.0,100000.0,RUR,Пермь,2022-12-15T11:00:11+0300
QA Automation (Mobile),,320000.0,RUR,Москва,2022-12-15T11:16:55+0300
Оператор станков с ПУ,50000.0,60000.0,RUR,Рыбинск,2022-12-15T08:26:42+0300
Инженер по автоматизированным системам управления производством,30000.0,,RUR,Набережные Челны,2022-12-15T10:55:50+0300
Инженер по ремонту складской техники (jungheinrich),80000.0,,RUR,Бронницы,2022-12-15T10:12:09+0300
Токарь-универсал,180000.0,,KZT,Алматы,2022-12-15T07:29:31+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Лянтор,2022-12-15T09:09:23+0300
Механик-контролер,25000.0,,RUR,Кузнецк,2022-12-15T07:35:29+0300
Токарь,35000.0,50000.0,RUR,Бийск,2022-12-15T08:01:37+0300
Оператор стеклоформующих машин,80000.0,,RUR,Алексин,2022-12-15T11:31:45+0300
Ведущий специалист по системам связи и телекоммуникациям,60000.0,65000.0,RUR,Екатеринбург,2022-12-15T06:06:39+0300
Менеджер проекта,45000.0,60000.0,RUR,Иркутск,2022-12-15T09:34:04+0300
Токарь,100000.0,,RUR,Россошь,2022-12-15T11:33:20+0300
Технический специалист,50000.0,,RUR,Владивосток,2022-12-15T10:34:29+0300
Преподаватель (Грузоподъемные механизмы),26000.0,32000.0,RUR,Ачинск,2022-12-15T06:23:27+0300
Специалист по внедрению информационных систем,15279.0,25000.0,RUR,Сызрань,2022-12-15T08:53:00+0300
Токарь-расточник,20000.0,80000.0,RUR,Сызрань,2022-12-15T08:53:01+0300
Оператор листогибочного станка с ЧПУ,45000.0,,RUR,Чебоксары,2022-12-15T11:54:28+0300
Нагревальщик металла 4 разряда,50000.0,,RUR,Челябинск,2022-12-15T08:45:21+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),25000.0,80000.0,RUR,Красноярск,2022-12-15T10:34:15+0300
Фрезеровщик,42000.0,,RUR,Ярославль,2022-12-15T11:40:10+0300
Инженер-механик,,75400.0,RUR,Керчь,2022-12-15T08:44:26+0300
Аналитик 1С,70000.0,,RUR,Екатеринбург,2022-12-15T10:18:22+0300
Специалист по информационной безопасности,60000.0,,RUR,Москва,2022-12-15T09:30:03+0300
"Ведущий инженер-программист АО ""Концерн ""Автоматика""",100000.0,,RUR,Москва,2022-12-15T09:44:36+0300
Менеджер по продаже косметики,40000.0,,RUR,Новосибирск,2022-12-15T10:50:48+0300
Системный администратор,40000.0,,RUR,Киров (Кировская область),2022-12-15T10:59:04+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Сургут,2022-12-15T09:09:23+0300
Маркетолог-аналитик,400000.0,,KZT,Алматы,2022-12-15T08:03:13+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Ноябрьск,2022-12-15T09:09:23+0300
Сервисный инженер,40000.0,,RUR,Ижевск,2022-12-15T09:47:22+0300
"Токарь (ДИП300, ДИП500) 6 разряд",70000.0,,RUR,Улан-Удэ,2022-12-15T09:24:07+0300
Электрик-диагност,40000.0,,RUR,Сургут,2022-12-15T11:27:36+0300
Наладчик КИПиА,50000.0,,RUR,Углич,2022-12-15T11:58:23+0300
Инженер-программист микроконтроллеров,50000.0,,RUR,Иваново (Ивановская область),2022-12-15T09:23:56+0300
Разработчик 1С:Документооборот,185000.0,,RUR,Ростов-на-Дону,2022-12-15T09:56:52+0300
Главный специалист по поддержке инфраструктуры и производственных технологий,115000.0,,RUR,Краснодар,2022-12-15T09:55:15+0300
Оператор станков с программным управлением 3 разряд,47000.0,,RUR,Ивантеевка,2022-12-15T11:50:33+0300
Токарь-универсал,53000.0,57000.0,RUR,Томск,2022-12-15T07:04:30+0300
Разработчик 1С:Документооборот,185000.0,,RUR,Саратов,2022-12-15T09:56:52+0300
Токарь-универсал,90000.0,,RUR,Губкин,2022-12-15T11:57:29+0300
Наладчик станков и манипуляторов с ПУ,40000.0,60000.0,RUR,Сызрань,2022-12-15T08:53:00+0300
Программист 1С,,260000.0,RUR,Владимир,2022-12-15T09:26:33+0300
Наладчик оборудования в производстве пищевой продукции,40000.0,50000.0,RUR,Минеральные Воды,2022-12-15T11:30:47+0300
Токарь,35000.0,,RUR,Рязань,2022-12-15T10:35:43+0300
Специалист технической поддержки,35000.0,40000.0,RUR,Челябинск,2022-12-15T11:11:07+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Калуга,2022-12-15T09:03:02+0300
Инженер-механик,60000.0,,RUR,Пермь,2022-12-15T08:19:50+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Нефтеюганск,2022-12-15T09:09:23+0300
Разработчик 1С:Документооборот,185000.0,,RUR,Санкт-Петербург,2022-12-15T09:56:52+0300
Frontend teamlead,,300000.0,RUR,Москва,2022-12-15T10:28:32+0300
Инженер системно-технической поддержки,24000.0,24000.0,RUR,Бузулук,2022-12-15T08:50:16+0300
Мастер по ремонту холодильников,40000.0,,RUR,Липецк,2022-12-15T09:20:45+0300
Монтажник интернет сетей,45000.0,,RUR,Прокопьевск,2022-12-15T09:23:27+0300
Инженер участка инженерно-технической поддержки,60000.0,,RUR,Удомля,2022-12-15T09:40:29+0300
Резчик на пилах ножовках и станках,30000.0,,RUR,Пермь,2022-12-15T06:51:04+0300
Электрик / электромеханик,60000.0,,RUR,Санкт-Петербург,2022-12-15T10:23:26+0300
Системный инженер,140000.0,,KZT,Уральск,2022-12-15T10:14:56+0300
Мастер по ремонту транспорта,,75000.0,RUR,Братск,2022-12-15T10:42:41+0300
Программист-разработчик 1С,80000.0,,RUR,Ижевск,2022-12-15T07:39:48+0300
Ведущий инженер КИПиА,90000.0,117000.0,RUR,Дмитров,2022-12-15T08:15:55+0300
Токарь-фрезеровщик,33000.0,,RUR,Качканар,2022-12-15T11:29:54+0300
Эксперт SAP PPM (удаленная работа),250000.0,350000.0,RUR,Москва,2022-12-15T07:47:23+0300
Техник по ремонту и обслуживанию складской техники,1600.0,2500.0,BYR,Минск,2022-12-15T11:19:17+0300
Токарь-фрезеровщик,60000.0,100000.0,RUR,Тихорецк,2022-12-15T08:34:35+0300
Начальник отдела информационно-коммуникационных технологий,50000.0,,RUR,Нижний Новгород,2022-12-15T09:51:42+0300
Оператор станков с программным управлением 3 разряд,47000.0,,RUR,Мытищи,2022-12-15T11:50:33+0300
Инженер отдела развития сети,45000.0,50000.0,RUR,Сочи,2022-12-15T09:14:00+0300
Стажер-программист 1С,35000.0,70000.0,RUR,Ковров,2022-12-15T10:10:11+0300
Старший электромеханик,50000.0,52000.0,RUR,Вольск,2022-12-15T07:51:52+0300
Стажер-разработчик C++ (квантовое распределение ключей),,20000.0,RUR,Томск,2022-12-15T11:37:34+0300
Системный администратор,55000.0,60000.0,RUR,Владивосток,2022-12-15T10:34:29+0300
Оператор резательно-высекательного оборудования (этикетка),50000.0,,RUR,Москва,2022-12-15T09:11:08+0300
Специалист технической поддержки / IT cпециалист,28000.0,35000.0,RUR,Казань,2022-12-15T11:01:48+0300
Программист 1С,80000.0,,RUR,Воронеж,2022-12-15T07:04:16+0300
Фрезеровщик,30000.0,40000.0,RUR,Бийск,2022-12-15T08:01:29+0300
Инженер-механик (ОСУ и АСУ ТП),240000.0,240000.0,RUR,Самара,2022-12-15T03:01:28+0300
Мастер производственного обучения по слесарному делу,30000.0,35000.0,RUR,Ачинск,2022-12-15T06:19:47+0300
Инженер по ремонту складской техники (jungheinrich),80000.0,,RUR,Раменское,2022-12-15T10:12:47+0300
Инсталлятор,35000.0,,RUR,Рубцовск,2022-12-15T08:14:09+0300
Инженер-диагност фермы,,67000.0,RUR,Орел,2022-12-15T08:07:40+0300
Инженер-наладчик КИПиА,70000.0,70000.0,RUR,Санкт-Петербург,2022-12-15T08:53:34+0300
Программист Битрикс ( ОЧНО ),220000.0,,RUR,Зеленоград,2022-12-15T11:10:56+0300
Инженер по информационной безопасности,100000.0,,RUR,Екатеринбург,2022-12-15T06:47:27+0300
Инженер-программист микроконтроллеров,50000.0,,RUR,Великие Луки,2022-12-15T09:25:20+0300
Мастер по ремонту оборудования,35000.0,,RUR,Чебоксары,2022-12-15T09:14:22+0300
Монтажник (подключение к Интернету),65000.0,,RUR,Комсомольск-на-Амуре,2022-12-15T02:27:26+0300
"Fullstack разработчик (PHP, VUE, Bitrix, Laravel)",90000.0,120000.0,RUR,Челябинск,2022-12-15T10:27:11+0300
Токарь-универсал,70000.0,,RUR,Тихвин,2022-12-15T09:43:23+0300
Электромеханик связи,,1250.0,BYR,Минск,2022-12-15T08:58:01+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Нижневартовск,2022-12-15T09:09:23+0300
Старший механик по дизель-гидравлическому транспорту,91000.0,,RUR,Ленинск-Кузнецкий,2022-12-15T04:29:57+0300
"Инженер-системотехник 2,3 категории",53600.0,,RUR,Жуковский,2022-12-15T10:02:10+0300
Специалист технической поддержки,25000.0,,RUR,Ижевск,2022-12-15T10:08:29+0300
Руководитель информационно-технического отдела,70000.0,100000.0,RUR,Сочи,2022-12-15T09:17:08+0300
Программист 1С,,260000.0,RUR,Павловский Посад,2022-12-15T09:26:19+0300
Обработчик поверхностных пороков металла,43000.0,,RUR,Таганрог,2022-12-15T10:18:28+0300
"Веб-программист 1c-Bitrix, Bitrix24",150000.0,,RUR,Сургут,2022-12-15T08:40:13+0300
Инженер по безопасности дорожного движения,80000.0,90000.0,RUR,Надым,2022-12-15T09:09:23+0300
Специалист технической поддержки,30000.0,,RUR,Чита,2022-12-15T04:24:13+0300
Оператор станка с ПУ,25000.0,35000.0,RUR,Ирбит,2022-12-15T10:51:04+0300
Инженер-механик,53500.0,87000.0,RUR,Новосибирск,2022-12-15T11:18:14+0300
Мастер слесарного цеха,80000.0,,RUR,Москва,2022-12-15T10:29:02+0300
Руководитель проектных продаж,50000.0,200000.0,RUR,Екатеринбург,2022-12-15T07:34:54+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Стерлитамак,2022-12-15T08:56:50+0300
Наладчик холодноштамповочного оборудования,30000.0,,RUR,Екатеринбург,2022-12-15T09:21:21+0300
Инженер-электроник,62000.0,,RUR,Балашиха,2022-12-15T08:28:45+0300
Программист 1С (Удаленно),90000.0,150000.0,RUR,Уфа,2022-12-15T10:17:45+0300
