name,salary,area_name,published_at
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.83,Москва,2003-08-26T00:00:00+0400
ИТ специалист (SAP R/3),90837.3,Москва,2003-08-26T00:00:00+0400
Sales manager,60558.2,Москва,2003-08-26T14:40:25+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.83,Москва,2003-08-26T19:56:42+0400
Руководитель проектов,36334.92,Санкт-Петербург,2003-08-27T00:00:00+0400
Разработчик компиляторов,30279.1,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по маркетингу,21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
"Архитектор (VB, ASP)",21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов (системы автоматизации документооборота),18167.46,Москва,2003-08-27T09:45:08+0400
Специалист управления автоматизированных  систем коммерческого учета,30279.1,Москва,2003-08-27T09:49:05+0400
"Системный администратор на ПО (Rational ClearCase, ClearQuest)",24223.28,Москва,2003-08-27T09:50:47+0400
Консультант по внедрению ERP-систем,30279.1,Москва,2003-08-27T09:52:28+0400
Разработчик баз данных,18167.46,Санкт-Петербург,2003-08-27T10:03:28+0400
Network Administrator,36334.92,Москва,2003-08-27T11:09:35+0400
Сспециалист по трафику (Webmaster Sharing Program),21195.37,Москва,2003-08-27T17:59:02+0400
Аудитор,30279.1,Москва,2003-08-28T00:00:00+0400
Руководитель представительства,33640.0801,Челябинск,2003-08-28T00:00:00+0400
Инженер-проектировщик (проектирование систем охранно-пожарной сигнализации):,21195.37,Москва,2003-08-28T17:25:38+0400
Инженер-проектировщик (проектирование СКС),21195.37,Москва,2003-08-28T17:28:41+0400
Руководитель проектов,121116.4,Москва,2003-08-28T17:54:02+0400
Менеджер по продажам IT проектов,151395.5,Москва,2003-08-29T00:00:00+0400
